epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.213,0.90321,2.81042,1.24523,0.00247,0.41481,0.27337,0.20394,1.02689,3.96669,1.25697,0.00045009,0.00045009,0.00045009
2,267.504,1.0527,1.88093,1.25678,0.92179,0.0961,0.16217,0.09562,1.64186,4.32864,1.87278,0.000907773,0.000907773,0.000907773
3,399.935,1.03905,1.75946,1.26565,0.63766,0.29069,0.37799,0.20856,1.39248,3.45568,1.62385,0.00135621,0.00135621,0.00135621
4,529.8,1.09082,1.65485,1.30611,0.76449,0.19706,0.22946,0.12846,1.5772,3.33476,1.80942,0.00161749,0.00161749,0.00161749
5,658.899,1.08943,1.52279,1.2864,0.41142,0.4122,0.40624,0.23071,1.4307,2.65885,1.632,0.00160099,0.00160099,0.00160099
6,785.33,1.00194,1.37444,1.23823,0.45664,0.49558,0.477,0.26617,1.37353,2.39262,1.51874,0.00158448,0.00158448,0.00158448
7,912.156,1.03794,1.25578,1.25578,0.78603,0.19916,0.37729,0.18232,1.64119,2.69368,2.03469,0.00156798,0.00156798,0.00156798
8,1038.17,1.06651,1.22745,1.25402,0.69085,0.60484,0.64342,0.33516,1.2318,1.8293,1.59184,0.00155148,0.00155148,0.00155148
9,1165.22,0.99218,1.13886,1.21693,0.70346,0.67194,0.67237,0.4086,1.09302,1.72173,1.28747,0.00153497,0.00153497,0.00153497
10,1292.03,1.02169,1.08312,1.23777,0.69359,0.68874,0.68563,0.42113,1.05774,1.36877,1.25411,0.00151847,0.00151847,0.00151847
11,1420.32,0.95977,1.02189,1.20334,0.5429,0.53337,0.58223,0.34932,1.13118,1.8518,1.32845,0.00150197,0.00150197,0.00150197
12,1548.78,1.0058,1.00286,1.24094,0.76171,0.6868,0.70602,0.42962,0.95178,1.10592,1.17973,0.00148546,0.00148546,0.00148546
13,1674.76,0.92066,0.95391,1.18268,0.66338,0.55585,0.61677,0.3317,1.24475,1.28545,1.4813,0.00146896,0.00146896,0.00146896
14,1802.12,0.93082,0.93138,1.17705,0.71388,0.69916,0.72086,0.45122,0.95292,1.09883,1.20288,0.00145246,0.00145246,0.00145246
15,1929.75,0.90171,0.85623,1.15608,0.73957,0.76893,0.74009,0.47547,0.88023,1.02807,1.11695,0.00143595,0.00143595,0.00143595
16,2055.88,0.89842,0.83197,1.15655,0.75373,0.74423,0.7535,0.47675,0.91197,0.95486,1.16157,0.00141945,0.00141945,0.00141945
17,2181.73,0.89184,0.83014,1.17466,0.72731,0.79816,0.76166,0.47373,0.98408,0.92054,1.26603,0.00140295,0.00140295,0.00140295
18,2309.39,0.90784,0.84318,1.17362,0.78881,0.70469,0.7459,0.46905,0.91162,0.89731,1.13882,0.00138644,0.00138644,0.00138644
19,2435.36,0.89192,0.82808,1.14491,0.73264,0.77098,0.74077,0.48139,0.9084,0.99074,1.17298,0.00136994,0.00136994,0.00136994
20,2561.39,0.93408,0.85262,1.17611,0.72656,0.71978,0.75329,0.47688,0.91925,0.96365,1.1711,0.00135344,0.00135344,0.00135344
21,2689.7,0.85264,0.81191,1.13792,0.75865,0.71293,0.72081,0.484,0.86914,0.85583,1.1098,0.00133693,0.00133693,0.00133693
22,2817.1,0.84678,0.77564,1.13475,0.75756,0.76842,0.7797,0.50737,0.83908,0.84883,1.08967,0.00132043,0.00132043,0.00132043
23,2946.03,0.82915,0.72323,1.11181,0.77726,0.74434,0.77474,0.50084,0.83417,0.85646,1.09085,0.00130393,0.00130393,0.00130393
24,3073.31,0.80658,0.73153,1.1208,0.78442,0.73856,0.77895,0.51728,0.81116,0.82586,1.07755,0.00128742,0.00128742,0.00128742
25,3205.31,0.80893,0.72241,1.12179,0.79829,0.73419,0.78373,0.49508,0.91594,0.98999,1.17343,0.00127092,0.00127092,0.00127092
26,3337.76,0.81777,0.7317,1.13641,0.76434,0.79086,0.7855,0.48261,0.95829,0.87133,1.14671,0.00125442,0.00125442,0.00125442
27,3469.24,0.83754,0.69281,1.11237,0.78105,0.78596,0.8126,0.54381,0.80314,0.73877,1.07842,0.00123791,0.00123791,0.00123791
28,3599.56,0.80561,0.73356,1.10415,0.73397,0.73329,0.75569,0.47389,0.95923,0.92726,1.17099,0.00122141,0.00122141,0.00122141
